Date,Open,High,Low,Close
28-Jul-16,28108.78,28240.2,28064.9,28208.62
29-Jul-16,28232.87,28233.47,28037.87,28051.86
1-Aug-16,28083.08,28284.85,27873.53,28003.12
2-Aug-16,28069.12,28175.22,27943.91,27981.71
3-Aug-16,28008.52,28015.43,27647.14,27697.51
4-Aug-16,27899.88,27921.91,27627.97,27714.37
5-Aug-16,27810.55,28110.37,27795.74,28078.35
8-Aug-16,28181.92,28226.38,28128.06,28182.57
9-Aug-16,28289.22,28289.96,27956.77,28085.16
1-Sep-16,28459.09,28548.85,28386.61,28423.48
2-Sep-16,28498.72,28581.58,28427.63,28532.11
6-Sep-16,28631.27,29013.4,28631.27,28978.02
7-Sep-16,29035.67,29067.84,28911.31,28926.36
8-Sep-16,28929.46,29077.28,28854.56,29045.28
9-Sep-16,29062.9,29062.9,28755.08,28797.25
3-Oct-16,27997.29,28273.02,27919.89,28243.29
4-Oct-16,28377.64,28404.7,28242.25,28334.55
5-Oct-16,28425.74,28477.65,28188.9,28220.98
6-Oct-16,28298.35,28328.56,28031.22,28106.21
7-Oct-16,28129.22,28155.68,27964.91,28061.14
10-Oct-16,28144.28,28216.64,28068.32,28082.34
13-Oct-16,28042.62,28042.62,27563.84,27643.11
14-Oct-16,27712.22,27763.54,27548.18,27673.6
17-Oct-16,27776.14,27803.21,27488.3,27529.97
18-Oct-16,27656.89,28064.39,27652.76,28050.88
19-Oct-16,28112.36,28131.07,27926.17,27984.37
20-Oct-16,28031.57,28212.5,28031.57,28129.84
21-Oct-16,28163.41,28163.41,27957.92,28077.18
24-Oct-16,28156.59,28256.65,28075.95,28179.08
25-Oct-16,28159.09,28211.41,28013.69,28091.42
26-Oct-16,28050.55,28050.55,27759.56,27836.51
27-Oct-16,27808.63,27958.13,27665.6,27915.9
28-Oct-16,27983.14,28000.14,27789.84,27941.51
30-Oct-16,28066.32,28095.71,27890.14,27930.21
1-Nov-16,27966.18,28029.8,27845.63,27876.61
2-Nov-16,27679.32,27679.32,27500.81,27527.22
3-Nov-16,27518.06,27600.74,27399.26,27430.28
4-Nov-16,27465.55,27498.91,27193.61,27274.15
7-Nov-16,27552.27,27591.15,27398.72,27458.99
8-Nov-16,27537.26,27646.84,27406.76,27591.14
9-Nov-16,26251.38,27397.38,25902.45,27252.53
1-Dec-16,26756.66,26769.32,26540.82,26559.92
2-Dec-16,26437.37,26463.06,26182.93,26230.66
5-Dec-16,26253.48,26390.8,26125.35,26349.1
6-Dec-16,26403.62,26502.43,26356.02,26392.76
7-Dec-16,26456.21,26540.83,26164.82,26236.87
8-Dec-16,26366.52,26733.87,26357.35,26694.28
9-Dec-16,26787.14,26803.76,26707.81,26747.18
2-Jan-17,26711.15,26720.98,26447.06,26595.45
3-Jan-17,26616.92,26724.4,26488.37,26643.24
4-Jan-17,26677.22,26723.37,26606.06,26633.13
5-Jan-17,26738.42,26917.21,26738.42,26878.24
6-Jan-17,26929.69,27009.61,26733.33,26759.23
9-Jan-17,26860.81,26860.88,26701.18,26726.55
10-Jan-17,26811.63,26914.95,26804.17,26899.56
11-Jan-17,26978.44,27174.87,26978.44,27140.41
12-Jan-17,27171.66,27278.93,27166.69,27247.16
13-Jan-17,27378.01,27459.75,27143.07,27238.06
16-Jan-17,27238.35,27335.08,27172.68,27288.17
17-Jan-17,27331.82,27381.43,27179.19,27235.66
18-Jan-17,27261.76,27422.67,27217.65,27257.64
19-Jan-17,27253.34,27348.19,27219.89,27308.6
20-Jan-17,27232.69,27264.41,27009.81,27034.5
23-Jan-17,26990.93,27167.79,26963.58,27117.34
24-Jan-17,27170.88,27393.35,27140.85,27375.58
25-Jan-17,27462.83,27736.83,27439.68,27708.14
27-Jan-17,27761.03,27980.39,27759.48,27882.46
30-Jan-17,27866.8,27947.37,27813.32,27849.56
31-Jan-17,27867.92,27867.92,27624.54,27655.96
1-Feb-17,27669.08,28159.54,27590.1,28141.64
2-Feb-17,28167.83,28299.92,28070.81,28226.61
3-Feb-17,28270.67,28280.58,28127.18,28240.52
6-Feb-17,28340.39,28487.28,28340.39,28439.28
7-Feb-17,28443.23,28483.41,28239.12,28335.16
8-Feb-17,28386.08,28391.64,28149.08,28289.92
9-Feb-17,28349.22,28469.48,28152.18,28329.7
1-Mar-17,28849.04,29029.17,28824.17,28984.49
2-Mar-17,29117.38,29145.62,28784.31,28839.79
3-Mar-17,28827.5,28860.13,28716.21,28832.45
6-Mar-17,28859.21,29070.2,28856.12,29048.19
7-Mar-17,29092.16,29098.17,28957.68,28999.56
8-Mar-17,29021.06,29022.32,28815.48,28901.94
9-Mar-17,28909.7,28986.72,28815.02,28929.13
3-Apr-17,29737.73,29926.94,29705.72,29910.22
5-Apr-17,29996.03,30007.48,29817.69,29974.24
6-Apr-17,29946.89,29954.25,29817.59,29927.34
7-Apr-17,29850.71,29886.12,29668.45,29706.61
2-May-17,30021.49,30069.24,29804.12,29921.18
3-May-17,29984.95,30020.59,29846.57,29894.8
4-May-17,30069.72,30169.95,30007.4,30126.21
5-May-17,30142.14,30176.55,29823.6,29858.8
8-May-17,29915.12,30016.04,29877.41,29926.15
9-May-17,29977.5,30017.82,29911.44,29933.25
1-Jun-17,31117.09,31213.12,31062.02,31137.59
2-Jun-17,31205.37,31332.56,31190.4,31273.29
5-Jun-17,31274.74,31355.42,31198.22,31309.49
6-Jun-17,31420.85,31430.32,31172.55,31190.56
7-Jun-17,31252.71,31346.99,31172.98,31271.28
8-Jun-17,31316.91,31354.51,31193.77,31213.36
9-Jun-17,31196.86,31289.99,31087.28,31262.06
12-Jun-17,31225.43,31225.43,31044.28,31095.7
13-Jun-17,31091.1,31260.77,31062.34,31103.49
14-Jun-17,31147.69,31190.36,31054.94,31155.91
15-Jun-17,31222.89,31229.44,31026.48,31075.73
16-Jun-17,31160.47,31182.73,31017.18,31056.4
19-Jun-17,31168.98,31362.15,31163.35,31311.57
20-Jun-17,31392.53,31392.53,31261.49,31297.53
21-Jun-17,31302.18,31336.44,31193.61,31283.64
22-Jun-17,31351.53,31522.87,31255.63,31290.74
23-Jun-17,31352.57,31365.39,31110.39,31138.21
27-Jun-17,31194.68,31294.96,30847.08,30958.25
28-Jun-17,30988.87,31000.48,30798.7,30834.32
29-Jun-17,30910.97,31097.92,30794.61,30857.52
30-Jun-17,30824.97,30965.45,30680.66,30921.61
3-Jul-17,31156.04,31258.33,31017.11,31221.62
4-Jul-17,31331.21,31353.46,31166.37,31209.79
5-Jul-17,31272.72,31284.64,31177.78,31245.56
6-Jul-17,31298.42,31460.7,31264.86,31369.34
7-Jul-17,31373.52,31426.29,31286.62,31360.63
10-Jul-17,31510.62,31768.39,31471.41,31715.64
11-Jul-17,31789.5,31885.11,31718.48,31747.09
12-Jul-17,31813.24,31865.69,31731.43,31804.82
13-Jul-17,31896.23,32091.52,31892.63,32037.38
14-Jul-17,32099.93,32109.75,31897.87,32020.75
17-Jul-17,32053.98,32131.92,32037.21,32074.78
18-Jul-17,31775.54,31911.61,31626.44,31710.99
19-Jul-17,31882.8,31978.89,31793.72,31955.35
20-Jul-17,32033.82,32057.12,31859.5,31904.4
21-Jul-17,32035.88,32062.23,31808.93,32028.89
24-Jul-17,32100.22,32320.86,32058.33,32245.87
25-Jul-17,32350.71,32374.3,32196.86,32228.27
26-Jul-17,32255.99,32413.63,32226.08,32382.46
27-Jul-17,32519.44,32672.66,32325.33,32383.3
28-Jul-17,32381.36,32381.36,32104.66,32309.88
31-Jul-17,32412.2,32546.5,32324.45,32514.94
1-Aug-17,32579.8,32632.02,32462.25,32575.17
2-Aug-17,32641.58,32686.48,32394.89,32476.74
3-Aug-17,32502.55,32502.55,32194.58,32237.88
4-Aug-17,32191.12,32352.19,32107.99,32325.41
7-Aug-17,32377.8,32396.14,32235.82,32273.67
8-Aug-17,32341.05,32354.77,31915.2,32014.19
9-Aug-17,31926.14,31967.28,31731.91,31797.84
1-Sep-17,31769.34,31944.1,31707.27,31892.23
4-Sep-17,31932.2,31932.2,31560.32,31702.25
5-Sep-17,31755.16,31863.47,31674.23,31809.55
6-Sep-17,31713.5,31727.85,31586.53,31661.97
7-Sep-17,31738.74,31814.96,31620.44,31662.74
8-Sep-17,31694.15,31763.7,31619,31687.52
3-Oct-17,31537.81,31615.28,31440.48,31497.38
4-Oct-17,31522.17,31752.16,31457.78,31671.71
5-Oct-17,31725.85,31772.41,31562.25,31592.03
6-Oct-17,31633.34,31844.28,31632.81,31814.22
9-Oct-17,31862.2,31935.63,31781.75,31846.89
10-Oct-17,31910.82,31994.77,31896.9,31924.41
11-Oct-17,31975.59,32098.46,31769.4,31833.99
12-Oct-17,31887.47,32209.03,31813.67,32182.22
13-Oct-17,32247.74,32508.59,32247.74,32432.69
16-Oct-17,32488.23,32687.32,32445.43,32633.64
17-Oct-17,32654.41,32699.86,32556.74,32609.16
18-Oct-17,32518.56,32670.32,32462.85,32584.35
19-Oct-17,32656.75,32663.06,32319.37,32389.96
23-Oct-17,32411.86,32614.89,32312.74,32506.72
24-Oct-17,32619.26,32670.37,32502.08,32607.34
25-Oct-17,32995.28,33117.33,32804.6,33042.5
26-Oct-17,33025.17,33196.17,32835.06,33147.13
27-Oct-17,33228.32,33286.51,33109.41,33157.22
